"beta_hat","bias","rmse","covered","cindex","ibs","scenario","rep"
0.701553415319256,0.00840623475931079,7.0664782828645e-05,1,0.655941221180644,NA,"PH",169
0.809877295983314,0.116730115423369,0.013625919846753,1,0.694861660079051,NA,"PH",170
0.574957144123802,-0.118190036436143,0.0139688847127768,1,0.69428309385509,NA,"PH",171
0.695265212021908,0.00211803146196288,4.4860572738646e-06,1,0.649350649350649,NA,"PH",172
0.763141815509018,0.0699946349490725,0.00489924892165393,1,0.655031916338449,NA,"PH",173
0.698927203557997,0.00578002299805203,3.34086658580103e-05,1,0.705842483394334,NA,"PH",174
0.711282228361,0.0181350478010551,0.000328879958746554,1,0.708601087493821,NA,"PH",175
0.587087126201788,-0.106060054358157,0.0112487351304553,1,0.753938289285249,NA,"PH",176
0.625085368252972,-0.0680618123069731,0.00463241029450963,1,0.688576664630422,NA,"PH",177
0.595574888787378,-0.0975722917725673,0.00952035212175101,1,0.69680196801968,NA,"PH",178
0.718394049962642,0.0252468694026967,0.000637404414636824,1,0.677096857958972,NA,"PH",179
0.807808657728054,0.114661477168108,0.0131472543463727,1,0.733112582781457,NA,"PH",180
0.657390225891755,-0.03575695466819,0.00127855980714299,1,0.672254819782062,NA,"PH",181
0.626011948491267,-0.0671352320686782,0.00450713938491528,1,0.647872753135911,NA,"PH",182
0.700125306187697,0.00697812562775202,4.86942372766895e-05,1,0.662082244533077,NA,"PH",183
0.640220494630839,-0.0529266859291065,0.00280123408343828,1,0.708898494559547,NA,"PH",184
0.575218102117808,-0.117929078442138,0.0139072675422119,1,0.642338291248703,NA,"PH",185
0.663957974044415,-0.0291892065155303,0.000852009777006274,1,0.703135888501742,NA,"PH",186
0.711679347155715,0.0185321665957701,0.000343441198733376,1,0.692028985507246,NA,"PH",187
0.652492966368896,-0.0406542141910496,0.00165276513149174,1,0.679206914082359,NA,"PH",188
0.837910689328845,0.1447635087689,0.0209564734710834,1,0.656330399458362,NA,"PH",189
0.631151338790847,-0.0619958417690984,0.00384348439665909,1,0.686599038974907,NA,"PH",190
0.732969147402782,0.0398219668428369,0.001585789043232,1,0.689435007830382,NA,"PH",191
0.674980332655332,-0.0181668479046138,0.000330034362789369,1,0.667919637070642,NA,"PH",192
0.848537059231935,0.15538987867199,0.0241460143936958,1,0.685408481235605,NA,"PH",193
0.543755956122035,-0.14939122443791,0.022317737939058,0,0.642510775862069,NA,"PH",194
0.646787637442649,-0.0463595431172963,0.00214920723804445,1,0.715227241521351,NA,"PH",195
0.718365900235387,0.025218719675442,0.000635983822068524,1,0.647976539589443,NA,"PH",196
0.713020542835703,0.0198733622757574,0.000394950528143498,1,0.654476516634051,NA,"PH",197
0.746669205976698,0.0535220254167527,0.00286460720471152,1,0.700387645367013,NA,"PH",198
0.775433569575481,0.0822863890155359,0.0067710498172161,1,0.698158301701111,NA,"PH",199
0.611613282969835,-0.0815338975901108,0.00664777645623467,1,0.652756238545044,NA,"PH",200
0.575370756910411,-0.117776423649534,0.0138712859676746,1,0.688817980022198,NA,"nonPH",1
0.327653816163917,-0.365493364396028,0.133585399417528,0,0.673034148894413,NA,"nonPH",2
0.2761098435285,-0.417037337031445,0.173920140478279,0,0.657399836467702,NA,"nonPH",3
0.427072830905648,-0.266074349654297,0.0707955595439571,0,0.64719723183391,NA,"nonPH",4
0.332417257138611,-0.360729923421335,0.130126077651562,0,0.631098770329234,NA,"nonPH",5
0.388684138054923,-0.304463042505022,0.0926977442514149,0,0.723244968090329,NA,"nonPH",6
0.431608200865111,-0.261538979694834,0.068402637899815,0,0.652760429677742,NA,"nonPH",7
0.63212990188153,-0.0610172786784158,0.00372310829731945,1,0.642057569296375,NA,"nonPH",8
0.398612353638108,-0.294534826921838,0.0867507642698768,0,0.643165856293895,NA,"nonPH",9
0.395723344448765,-0.29742383611118,0.0884609382870904,0,0.684042257436753,NA,"nonPH",10
0.486979892803583,-0.206167287756362,0.0425049505408146,0,0.703520142330665,NA,"nonPH",11
0.386366037049868,-0.306781143510077,0.0941146700133504,0,0.64345691771089,NA,"nonPH",12
0.345289685727903,-0.347857494832042,0.121004836710824,0,0.661739344666174,NA,"nonPH",13
0.574170840775615,-0.118976339784331,0.0141553694284765,1,0.640683672148129,NA,"nonPH",14
0.373619631858712,-0.319527548701233,0.102097854379019,0,0.634191862635312,NA,"nonPH",15
0.446282924592219,-0.246864255967726,0.0609419608744992,0,0.68454965681468,NA,"nonPH",16
0.421550592363257,-0.271596588196688,0.0737647067200814,0,0.660487425460202,NA,"nonPH",17
0.428937479942578,-0.264209700617367,0.0698067659003188,0,0.62899144475238,NA,"nonPH",18
0.429308815514341,-0.263838365045604,0.0696106828699376,0,0.646024464831804,NA,"nonPH",19
0.565336121193361,-0.127811059366584,0.0163356668964085,1,0.667807281686285,NA,"nonPH",20
